index:0 	label:0.0 	priority:-277.76718307285756
index:125 	label:0.0 	priority:-57.44032200795535
index:126 	label:0.0 	priority:-621.7662211764244
index:127 	label:0.0 	priority:-296.1533693696032
index:128 	label:0.0 	priority:-686.9349846820197
index:129 	label:0.0 	priority:-374.6203737846979
index:130 	label:0.0 	priority:-1298.7598961890608
index:131 	label:0.0 	priority:-942.0002700064366
index:132 	label:0.0 	priority:-1361.8176438379207
index:133 	label:0.0 	priority:-227.64109232812854
index:134 	label:0.0 	priority:-575.4411327166774
index:135 	label:0.0 	priority:-467.6408268532944
index:136 	label:0.0 	priority:-382.62705168721254
index:137 	label:0.0 	priority:-940.4109690927378
index:138 	label:0.0 	priority:-1419.8835001293394
index:139 	label:0.0 	priority:-1445.2267429746394
index:140 	label:0.0 	priority:-1492.575328105018
index:141 	label:0.0 	priority:-1284.7442651313677
index:142 	label:0.0 	priority:-334.0374712866101
index:143 	label:0.0 	priority:-1350.9808724985494
index:144 	label:0.0 	priority:-51.95776574341256
index:145 	label:0.0 	priority:-1378.6636118703987
index:146 	label:0.0 	priority:-619.6789682478384
index:147 	label:0.0 	priority:-291.2502834535512
index:148 	label:0.0 	priority:-213.31361923819304
index:149 	label:0.0 	priority:-317.22915072501814
index:150 	label:0.0 	priority:-909.2609161099591
index:151 	label:0.0 	priority:-980.0371240640451
index:152 	label:0.0 	priority:-291.25026785331187
index:153 	label:0.0 	priority:-1427.030926076912
index:154 	label:0.0 	priority:-253.18101001061456
index:155 	label:0.0 	priority:-545.5599838274311
index:156 	label:0.0 	priority:-441.7406134340706
index:157 	label:0.0 	priority:-359.40055644727823
index:158 	label:0.0 	priority:-239.29250210989932
index:159 	label:0.0 	priority:-422.6457194225666
index:160 	label:0.0 	priority:-363.7043602038879
index:161 	label:0.0 	priority:-299.20784680755094
index:162 	label:0.0 	priority:-352.68011324608716
index:163 	label:0.0 	priority:-1428.8385579438454
index:164 	label:0.0 	priority:-742.158943028948
index:165 	label:0.0 	priority:-742.158943028948
index:166 	label:0.0 	priority:-1015.117742785825
index:167 	label:0.0 	priority:-1621.0763958266236
index:168 	label:0.0 	priority:-348.6414909129916
index:169 	label:0.0 	priority:-1272.965276313847
index:170 	label:0.0 	priority:-311.9563788162542
index:171 	label:0.0 	priority:-1296.6375408956678
index:172 	label:0.0 	priority:-291.2502834535512
index:173 	label:0.0 	priority:-1502.5938860407416
index:174 	label:0.0 	priority:-1367.383223510104
index:175 	label:0.0 	priority:-1266.7185719333268
index:176 	label:0.0 	priority:-1354.8566465332658
index:177 	label:0.0 	priority:-377.14449542266976
index:178 	label:0.0 	priority:-219.68903056123284
index:179 	label:0.0 	priority:-219.68903056123284
index:180 	label:0.0 	priority:-51.95776574341256
index:181 	label:0.0 	priority:-95.19820929742141
index:182 	label:0.0 	priority:-1044.637871132794
index:183 	label:0.0 	priority:-1376.8807922004328
index:184 	label:0.0 	priority:-589.6611409642857
index:185 	label:0.0 	priority:-1584.711855174083
index:186 	label:0.0 	priority:-167.65230164799743
index:187 	label:0.0 	priority:-727.4087204077758
index:188 	label:0.0 	priority:-758.8702413392754
index:189 	label:0.0 	priority:-1264.3567659155742
index:190 	label:0.0 	priority:-1373.1470693495546
index:191 	label:0.0 	priority:-327.8921729842754
index:192 	label:0.0 	priority:-259.7888287170628
index:193 	label:0.0 	priority:-1409.7821129599392
index:194 	label:0.0 	priority:-901.0392562324938
index:195 	label:0.0 	priority:-1461.1094996881952
index:196 	label:0.0 	priority:-545.5565403058318
index:197 	label:0.0 	priority:-411.84351599361463
index:198 	label:0.0 	priority:-1454.8964039853745
index:199 	label:0.0 	priority:-1506.775206558964
index:200 	label:0.0 	priority:-1400.5223378037954
index:201 	label:0.0 	priority:-51.95776574341256
index:202 	label:0.0 	priority:-109.39808775136791
index:203 	label:0.0 	priority:-1091.1130806116637
index:204 	label:0.0 	priority:-571.5354231775382
index:205 	label:0.0 	priority:-1051.7862146270625
index:206 	label:0.0 	priority:-195.2923153207258
index:207 	label:0.0 	priority:-1480.7963236872579
index:208 	label:0.0 	priority:-1487.0883825599014
index:209 	label:0.0 	priority:-1347.7269404509304
index:210 	label:0.0 	priority:-1340.7912405023972
index:211 	label:0.0 	priority:-1347.0876886556143
index:212 	label:0.0 	priority:-1509.883423773652
index:213 	label:0.0 	priority:-285.7677115887691
index:214 	label:0.0 	priority:-1388.6597966181928
index:215 	label:0.0 	priority:-1565.6554257904163
index:216 	label:0.0 	priority:-1201.3206709711324
index:217 	label:0.0 	priority:-51.95776574341256
index:218 	label:0.0 	priority:-467.619891690713
index:219 	label:0.0 	priority:-1174.5322854913254
index:220 	label:0.0 	priority:-52.04229575857139
index:221 	label:0.0 	priority:-796.6745818198227
index:222 	label:0.0 	priority:-1130.9804713840851
index:223 	label:0.0 	priority:-1363.9870418691623
index:224 	label:0.0 	priority:-1414.638679489899
index:225 	label:0.0 	priority:-701.4298375360695
index:226 	label:0.0 	priority:-1551.5344949060534
index:227 	label:0.0 	priority:-805.1129616394863
index:228 	label:0.0 	priority:-1384.8455915453196
index:229 	label:0.0 	priority:-467.69885486053585
index:230 	label:0.0 	priority:-363.7043602038879
index:231 	label:0.0 	priority:-1428.8385579438454
index:232 	label:0.0 	priority:-1023.562089777379
index:233 	label:0.0 	priority:-162.16535610288125
index:234 	label:0.0 	priority:-51.95776574341256
index:235 	label:0.0 	priority:-1428.8385579438454
index:236 	label:0.0 	priority:-1454.8174408155517
index:237 	label:0.0 	priority:-1175.1451919885176
index:238 	label:0.0 	priority:-1506.775206558964
index:239 	label:0.0 	priority:-322.1322678415488
index:240 	label:0.0 	priority:-1451.5784658069858
index:241 	label:0.0 	priority:-727.4087204077758
index:242 	label:0.0 	priority:-57.44032200795535
index:243 	label:0.0 	priority:-1123.4268083654945
index:244 	label:0.0 	priority:-1272.9652607136077
index:245 	label:0.0 	priority:-363.7043602038879
index:246 	label:0.0 	priority:-597.5143216494837
index:247 	label:0.0 	priority:-921.0399049274797
index:248 	label:0.0 	priority:-571.5354231775382
index:249 	label:0.0 	priority:-51.95776574341256
index:250 	label:0.0 	priority:-772.1680087548649
index:251 	label:0.0 	priority:-1517.1608643397983
index:252 	label:0.0 	priority:-1351.1277993349556
index:253 	label:0.0 	priority:-1221.007494970195
index:254 	label:0.0 	priority:-1402.859675072139
index:255 	label:0.0 	priority:-1479.1184548910073
index:256 	label:0.0 	priority:-129.1346711233668
index:257 	label:0.0 	priority:-507.48728246313453
index:258 	label:0.0 	priority:-277.0503893993653
index:259 	label:0.0 	priority:-161.3558534947805
index:260 	label:0.0 	priority:-489.78016460873346
index:261 	label:0.0 	priority:-195.7406880026592
index:262 	label:0.0 	priority:-1030.4379926788476
index:263 	label:0.0 	priority:-1013.1764320043278
index:264 	label:0.0 	priority:-1558.0709158738055
index:265 	label:0.0 	priority:-1423.8628276909897
index:266 	label:0.0 	priority:-285.7677115887691
index:267 	label:0.0 	priority:-257.4182354968862
index:268 	label:0.0 	priority:-1400.553072382493
index:269 	label:0.0 	priority:-519.5776574341256
index:270 	label:0.0 	priority:-615.5853693396477
index:271 	label:0.0 	priority:-51.95776574341256
index:272 	label:0.0 	priority:-1336.780994044603
index:273 	label:0.0 	priority:-1240.3783062140358
index:274 	label:0.0 	priority:-1395.4921131305264
index:275 	label:0.0 	priority:-1350.9019093287266
index:276 	label:0.0 	priority:-127.52380553811545
index:277 	label:0.0 	priority:-978.4802425356744
index:278 	label:0.0 	priority:-1764.3796725045179
index:279 	label:0.0 	priority:-519.5776574341256
index:280 	label:0.0 	priority:-623.4934806196216
index:281 	label:0.0 	priority:-1351.4542627616543
index:282 	label:0.0 	priority:-181.85218010194396
index:283 	label:0.0 	priority:-57.44032200795535
index:284 	label:0.0 	priority:-519.5776574341256
index:285 	label:0.0 	priority:-1046.0777527560513
index:286 	label:0.0 	priority:-1333.6308154416038
index:287 	label:0.0 	priority:-51.95778134365187
index:288 	label:0.0 	priority:-1539.8344536581164
index:289 	label:0.0 	priority:-1460.2999970800945
index:290 	label:0.0 	priority:-628.9757451854936
index:291 	label:0.0 	priority:-1393.5585244541498
index:292 	label:0.0 	priority:-51.95776574341256
index:293 	label:0.0 	priority:-899.7250858450528
index:294 	label:0.0 	priority:-1428.8385579438454
index:295 	label:0.0 	priority:-1517.2113726579175
index:296 	label:0.0 	priority:-1051.6821940343125
index:297 	label:0.0 	priority:-669.4437229277889
index:298 	label:0.0 	priority:-1426.2688132920935
index:299 	label:0.0 	priority:-51.95776574341256
index:300 	label:0.0 	priority:-899.9473855768359
index:301 	label:0.0 	priority:-1395.5150026150923
index:302 	label:0.0 	priority:-1471.4951574690292
index:303 	label:0.0 	priority:-883.2820176380135
index:304 	label:0.0 	priority:-493.5987745624193
index:305 	label:0.0 	priority:-1200.462069414756
index:306 	label:0.0 	priority:-1143.0708463550764
index:307 	label:0.0 	priority:-908.1633970607461
index:308 	label:0.0 	priority:-934.4800401462614
index:309 	label:0.0 	priority:-1075.5198555207915
index:310 	label:0.0 	priority:-826.2352779812329
index:311 	label:0.0 	priority:-491.2779251149395
index:312 	label:0.0 	priority:-493.5987901626586
index:313 	label:0.0 	priority:-616.8853702145025
index:314 	label:0.0 	priority:-1065.1341977399575
index:315 	label:0.0 	priority:-1428.9175211136683
index:316 	label:0.0 	priority:-925.1291145550967
index:317 	label:0.0 	priority:-493.5987745624193
index:318 	label:0.0 	priority:-1532.7540894306705
index:319 	label:0.0 	priority:-123.28659565208316
index:320 	label:0.0 	priority:-1454.8964039853745
index:321 	label:0.0 	priority:-187.33473636648677
index:322 	label:0.0 	priority:-904.9101524263564
index:323 	label:0.0 	priority:-1516.976616943545
index:324 	label:0.0 	priority:-1023.562089777379
index:325 	label:0.0 	priority:-284.85445553604853
index:326 	label:0.0 	priority:-1418.5080152582088
index:327 	label:0.0 	priority:-363.7043602038879
index:328 	label:0.0 	priority:-1554.8924305726568
index:329 	label:0.0 	priority:-688.8914971333583
index:330 	label:0.0 	priority:-1188.628410500652
index:331 	label:0.0 	priority:-1003.0657787704548
index:332 	label:0.0 	priority:-1293.7294185943742
index:333 	label:0.0 	priority:-595.7873383047182
index:334 	label:0.0 	priority:-51.95776574341256
index:335 	label:0.0 	priority:-1565.6947675439078
index:336 	label:0.0 	priority:-155.87329723023768
index:337 	label:0.0 	priority:-623.4931889209507
index:338 	label:0.0 	priority:-77.93666421535815
index:339 	label:0.0 	priority:-1409.7821129599392
index:340 	label:0.0 	priority:-51.95776574341256
index:341 	label:0.0 	priority:-259.7888287170628
index:342 	label:0.0 	priority:-337.72547733218164
index:343 	label:0.0 	priority:-1558.7329723023768
index:344 	label:0.0 	priority:-1265.8048512530536
index:345 	label:0.0 	priority:-992.6245805358872
index:346 	label:0.0 	priority:-233.8099458453565
index:347 	label:0.0 	priority:-1449.2202751917669
index:348 	label:0.0 	priority:-207.83106297365023
index:349 	label:0.0 	priority:-649.472071792657
index:350 	label:0.0 	priority:-51.95776574341256
index:351 	label:0.0 	priority:-51.95776574341256
index:352 	label:0.0 	priority:-172.01887575403777
index:353 	label:0.0 	priority:-772.9539358386965
index:354 	label:0.0 	priority:-1260.4265130606832
index:355 	label:0.0 	priority:-499.89083343506286
index:356 	label:0.0 	priority:-51.95776574341256
index:357 	label:0.0 	priority:-1455.9393215419743
index:358 	label:0.0 	priority:-1304.531113719137
index:359 	label:0.0 	priority:-701.4298375360695
index:360 	label:0.0 	priority:-725.8476297957
index:361 	label:0.0 	priority:-701.4298375360695
index:362 	label:0.0 	priority:-259.7888287170628
index:363 	label:0.0 	priority:-187.2856374182112
index:364 	label:0.0 	priority:-325.0332168617013
index:365 	label:0.0 	priority:-535.396772531227
index:366 	label:0.0 	priority:-51.995374343035266
index:367 	label:0.0 	priority:-1081.2797918639967
index:368 	label:0.0 	priority:-1097.4051394843073
index:369 	label:0.0 	priority:-1403.4909916748898
index:370 	label:0.0 	priority:-51.95776574341256
index:371 	label:0.0 	priority:-1558.7329723023768
index:372 	label:0.0 	priority:-415.66212594730047
index:373 	label:0.0 	priority:-1478.6432338151676
index:374 	label:0.0 	priority:-655.6347664452925
index:375 	label:0.0 	priority:-930.2270685692692
index:376 	label:0.0 	priority:-1269.1510400404954
index:377 	label:0.0 	priority:-901.4077510250003
index:378 	label:0.0 	priority:-1413.324296022796
index:379 	label:0.0 	priority:-941.5520575573198
index:380 	label:0.0 	priority:-974.4331630135761
index:381 	label:0.0 	priority:-441.64100881900674
index:382 	label:0.0 	priority:-769.2067339768226
index:383 	label:0.0 	priority:-1376.6965448041797
index:384 	label:0.0 	priority:-1064.2658315518074
index:385 	label:0.0 	priority:-1532.7540894306705
index:386 	label:0.0 	priority:-225.9567807603978
index:387 	label:0.0 	priority:-77.93664861511998
index:388 	label:0.0 	priority:-51.957766291986246
index:389 	label:0.0 	priority:-25.97888287170628
index:390 	label:0.0 	priority:-1440.6175779618445
index:391 	label:0.0 	priority:-1577.4344146079368
index:392 	label:0.0 	priority:-1292.3360719574482
index:393 	label:0.0 	priority:-140.28007213936556
index:394 	label:0.0 	priority:-325.64586653856014
index:395 	label:0.0 	priority:-1458.8222433181757
index:396 	label:0.0 	priority:-240.1020203182394
index:397 	label:0.0 	priority:-103.91553148682512
index:398 	label:0.0 	priority:-1445.595253367385
index:399 	label:0.0 	priority:-1532.7541050309098
index:400 	label:0.0 	priority:-1393.3742614576572
index:401 	label:0.0 	priority:-285.7677115887691
index:402 	label:0.0 	priority:-1413.2453328529732
index:403 	label:0.0 	priority:-857.3031347663073
index:404 	label:0.0 	priority:-819.23387692361
index:405 	label:0.0 	priority:-1336.7020308747801
index:406 	label:0.0 	priority:-353.8710558559817
index:407 	label:0.0 	priority:-1402.9386382419618
index:408 	label:0.0 	priority:-1452.6643509434612
index:409 	label:0.0 	priority:-1336.780994044603
index:410 	label:0.0 	priority:-857.3031347663073
index:411 	label:0.0 	priority:-904.0533331996817
index:412 	label:0.0 	priority:-1529.5167595438656
index:413 	label:0.0 	priority:-478.0055494715471
index:414 	label:0.0 	priority:-1355.0408783292796
index:415 	label:0.0 	priority:-51.95776574341256
index:416 	label:0.0 	priority:-368.32293956085425
index:417 	label:0.0 	priority:-408.50171648674626
index:418 	label:0.0 	priority:-233.8099458453565
index:419 	label:0.0 	priority:-1241.1858206805239
index:420 	label:0.0 	priority:-285.7677115887691
index:421 	label:0.0 	priority:-103.91553148682512
index:422 	label:0.0 	priority:-597.5143060492444
index:423 	label:0.0 	priority:-1402.859675072139
index:424 	label:0.0 	priority:-89.71565303287862
index:425 	label:0.0 	priority:-694.269412475276
index:426 	label:0.0 	priority:-51.95776574341256
index:427 	label:0.0 	priority:-51.95776574341256
index:428 	label:0.0 	priority:-1367.395378585951
index:429 	label:0.0 	priority:-363.7043602038879
index:430 	label:0.0 	priority:-1117.09196348337
index:431 	label:0.0 	priority:-155.8734780725878
index:432 	label:0.0 	priority:-233.8099458453565
index:433 	label:0.0 	priority:-1472.099101087628
index:434 	label:0.0 	priority:-763.7732610603161
index:435 	label:0.0 	priority:-623.4931889209507
index:436 	label:0.0 	priority:-1478.4544128208943
index:437 	label:0.0 	priority:-1172.9630597689977
index:438 	label:0.0 	priority:-374.09001798472207
index:439 	label:0.0 	priority:-117.80403938754037
index:440 	label:0.0 	priority:-344.0175362048252
index:441 	label:0.0 	priority:-51.95776574341256
index:442 	label:0.0 	priority:-439.4879189469165
index:443 	label:0.0 	priority:-155.87329723023768
index:444 	label:0.0 	priority:-526.5000953219258
index:445 	label:0.0 	priority:-1389.4076713664942
index:446 	label:0.0 	priority:-51.95776574341256
index:447 	label:0.0 	priority:-1213.1543298852364
index:448 	label:0.0 	priority:-233.8099458453565
index:449 	label:0.0 	priority:-1231.3931527510292
index:450 	label:0.0 	priority:-51.95776574341256
index:451 	label:0.0 	priority:-110.20759035946867
index:452 	label:0.0 	priority:-455.08114403778865
index:453 	label:0.0 	priority:-1428.8385579438454
index:454 	label:0.0 	priority:-624.0260816943018
index:455 	label:0.0 	priority:-587.6810017013382
index:456 	label:0.0 	priority:-1598.1519903928647
index:457 	label:0.0 	priority:-395.1167003918614
index:458 	label:0.0 	priority:-1617.6131759335894
index:459 	label:0.0 	priority:-1323.307265748361
index:460 	label:0.0 	priority:-407.80896086234173
index:461 	label:0.0 	priority:-211.8862665264593
index:462 	label:0.0 	priority:-1387.0548451673824
index:463 	label:0.0 	priority:-172.01887575403777
index:464 	label:0.0 	priority:-881.5277683812951
index:465 	label:0.0 	priority:-51.95776574341256
index:466 	label:0.0 	priority:-249.9555243691566
index:467 	label:0.0 	priority:-1369.536119743386
index:468 	label:0.0 	priority:-642.3667814559998
index:469 	label:0.0 	priority:-357.9038030425104
index:470 	label:0.0 	priority:-323.52559887823514
index:471 	label:0.0 	priority:-1505.6064921888124
index:472 	label:0.0 	priority:-831.3242518946009
index:473 	label:0.0 	priority:-155.87329723023768
index:474 	label:0.0 	priority:-595.1769687809009
index:475 	label:0.0 	priority:-1350.9019093287266
index:476 	label:0.0 	priority:-512.4172323733321
index:477 	label:0.0 	priority:-1286.4053959323894
index:478 	label:0.0 	priority:-467.64390409988425
index:479 	label:0.0 	priority:-641.6189223079375
index:480 	label:0.0 	priority:-1439.2242157246794
index:481 	label:0.0 	priority:-353.8710558559817
index:482 	label:0.0 	priority:-519.5776574341256
index:483 	label:0.0 	priority:-329.95127541704574
index:484 	label:0.0 	priority:-1335.3086998380936
index:485 	label:0.0 	priority:-505.27249475374873
index:486 	label:0.0 	priority:-1496.6056741525856
index:487 	label:0.0 	priority:-155.8776187622729
index:488 	label:0.0 	priority:-1382.467762334256
index:489 	label:0.0 	priority:-1528.9398843577974
index:490 	label:0.0 	priority:-1232.786499387955
index:491 	label:0.0 	priority:-1096.5465379279308
index:492 	label:0.0 	priority:-1296.9346646910653
index:493 	label:0.0 	priority:-1558.7329723023768
index:494 	label:0.0 	priority:-181.85218010194396
index:495 	label:0.0 	priority:-980.0371240640451
index:496 	label:0.0 	priority:-1558.7329723023768
index:497 	label:0.0 	priority:-1101.498738392498
index:498 	label:0.0 	priority:-493.5987745624193
index:499 	label:0.0 	priority:-1205.4142854795623
index:500 	label:0.0 	priority:-155.87329723023768
index:501 	label:0.0 	priority:-1416.299810290921
index:502 	label:0.0 	priority:-311.74659446047536
index:503 	label:0.0 	priority:-51.95776574341256
index:504 	label:0.0 	priority:-1510.0004392790047
index:505 	label:0.0 	priority:-181.85218010194396
index:506 	label:0.0 	priority:-259.7888287170628
index:507 	label:0.0 	priority:-197.99775862574404
index:508 	label:0.0 	priority:-1517.9523940812053
index:509 	label:0.0 	priority:-1374.4599181642463
index:510 	label:0.0 	priority:-1480.3946703091035
index:511 	label:0.0 	priority:-1278.7901951524343
index:512 	label:0.0 	priority:-51.95776574341256
index:513 	label:0.0 	priority:-1414.5333952634685
index:514 	label:0.0 	priority:-1565.0250311750203
index:515 	label:0.0 	priority:-415.66212594730047
index:516 	label:0.0 	priority:-389.6832430755942
index:517 	label:0.0 	priority:-919.6465582905539
index:518 	label:0.0 	priority:-1412.0801485183117
index:519 	label:0.0 	priority:-831.3242518946009
index:520 	label:0.0 	priority:-817.1243734406545
index:521 	label:0.0 	priority:-1205.414269879323
index:522 	label:0.0 	priority:-1454.8964039853745
index:523 	label:0.0 	priority:-389.49899567934096
index:524 	label:0.0 	priority:-829.8421088521085
index:525 	label:0.0 	priority:-587.6810017173938
index:526 	label:0.0 	priority:-181.85218011799262
index:527 	label:0.0 	priority:-1473.7246969352354
index:528 	label:0.0 	priority:-1298.632773032083
index:529 	label:0.0 	priority:-1409.1517339447826
index:530 	label:0.0 	priority:-1406.024993658112
index:531 	label:0.0 	priority:-1439.2242157246794
index:532 	label:0.0 	priority:-649.472071792657
index:533 	label:0.0 	priority:-1376.8807922004328
index:534 	label:0.0 	priority:-473.6552345064696
index:535 	label:0.0 	priority:-760.2320155850535
index:536 	label:0.0 	priority:-513.4225004568146
index:537 	label:0.0 	priority:-1065.1341977399575
index:538 	label:0.0 	priority:-1487.7187615750581
index:539 	label:0.0 	priority:-859.8599361356613
index:540 	label:0.0 	priority:-537.7033752208731
index:541 	label:0.0 	priority:-753.3876188797213
index:542 	label:0.0 	priority:-1333.2345575355869
index:543 	label:0.0 	priority:-1090.8750934386705
index:544 	label:0.0 	priority:-285.7677115887691
index:545 	label:0.0 	priority:-1207.616983289935
index:546 	label:0.0 	priority:-1298.944143585314
index:547 	label:0.0 	priority:-51.95776574341256
index:548 	label:0.0 	priority:-259.7888287170628
index:549 	label:0.0 	priority:-545.5565559060711
index:550 	label:0.0 	priority:-294.06012502761047
index:551 	label:0.0 	priority:-1031.4550133913344
index:552 	label:0.0 	priority:-1169.0497292267826
index:553 	label:0.0 	priority:-1376.8807922004328
index:554 	label:0.0 	priority:-675.4509702646026
index:555 	label:0.0 	priority:-1078.0350828841401
index:556 	label:0.0 	priority:-51.95776574341256
index:557 	label:0.0 	priority:-1421.6781328830518
index:558 	label:0.0 	priority:-389.7622218456563
index:559 	label:0.0 	priority:-51.95776574341256
index:560 	label:0.0 	priority:-779.3664861511884
index:561 	label:0.0 	priority:-545.5565403058318
index:562 	label:0.0 	priority:-181.85218010194396
index:563 	label:0.0 	priority:-1324.9230778109127
index:564 	label:0.0 	priority:-51.95776574341256
index:565 	label:0.0 	priority:-1419.0052535959392
index:566 	label:0.0 	priority:-285.7677115887691
index:567 	label:0.0 	priority:-1478.6432338151676
index:568 	label:0.0 	priority:-259.7888287170628
index:569 	label:0.0 	priority:-921.0399049274797
index:570 	label:0.0 	priority:-1489.4336321528203
index:571 	label:0.0 	priority:-1472.943158602299
index:572 	label:0.0 	priority:-1336.8599572144258
index:573 	label:0.0 	priority:-1091.1130806116637
